voivodeship,date,cases
zachodniopomorskie,2020-10-15,177
świętokrzyskie,2020-10-15,283
kujawsko-pomorskie,2020-10-15,318
podlaskie,2020-10-15,139
dolnośląskie,2020-10-15,382
podkarpackie,2020-10-15,420
małopolskie,2020-10-15,1303
pomorskie,2020-10-15,458
warmińsko-mazurskie,2020-10-15,191
łódzkie,2020-10-15,691
mazowieckie,2020-10-15,1306
lubelskie,2020-10-15,315
lubuskie,2020-10-15,177
śląskie,2020-10-14,520
opolskie,2020-10-14,1137
wielkopolskie,2020-10-14,508
zachodniopomorskie,2020-10-14,175
świętokrzyskie,2020-10-14,255
kujawsko-pomorskie,2020-10-14,356
podlaskie,2020-10-14,174
dolnośląskie,2020-10-14,315
podkarpackie,2020-10-14,319
małopolskie,2020-10-14,1137
pomorskie,2020-10-14,356
warmińsko-mazurskie,2020-10-14,196
łódzkie,2020-10-14,405
mazowieckie,2020-10-14,1188
lubelskie,2020-10-14,256
lubuskie,2020-10-14,145
śląskie,2020-10-13,441
opolskie,2020-10-13,898
wielkopolskie,2020-10-13,334
zachodniopomorskie,2020-10-13,151
świętokrzyskie,2020-10-13,121
kujawsko-pomorskie,2020-10-13,341
podlaskie,2020-10-13,183
dolnośląskie,2020-10-13,342
podkarpackie,2020-10-13,391
małopolskie,2020-10-13,898
pomorskie,2020-10-13,341
warmińsko-mazurskie,2020-10-13,79
łódzkie,2020-10-13,349
mazowieckie,2020-10-13,552
lubelskie,2020-10-13,163
lubuskie,2020-10-13,164
śląskie,2020-10-12,262
opolskie,2020-10-12,690
wielkopolskie,2020-10-12,530
zachodniopomorskie,2020-10-12,116
świętokrzyskie,2020-10-12,187
kujawsko-pomorskie,2020-10-12,258
podlaskie,2020-10-12,130
dolnośląskie,2020-10-12,199
podkarpackie,2020-10-12,334
małopolskie,2020-10-12,690
pomorskie,2020-10-12,284
warmińsko-mazurskie,2020-10-12,73
łódzkie,2020-10-12,344
mazowieckie,2020-10-12,441
lubelskie,2020-10-12,379
lubuskie,2020-10-12,14
śląskie,2020-10-11,354
opolskie,2020-10-11,685
wielkopolskie,2020-10-11,380
zachodniopomorskie,2020-10-11,155
świętokrzyskie,2020-10-11,152
kujawsko-pomorskie,2020-10-11,136
podlaskie,2020-10-11,110
